110,0.000138131+1i*(-0.00429019),0+1i*(0),0+1i*(0),-0.000276262+1i*(0.00858038),0+1i*(0),0+1i*(0),0+1i*(0),0.000138131+1i*(-0.00429019),0+1i*(0),0+1i*(0),-0.000276262+1i*(0.00858038),0+1i*(0),0+1i*(0),0+1i*(0),0.000138131+1i*(-0.00429019),0+1i*(0),0+1i*(0),-0.000276262+1i*(0.00858038),-0.000276262+1i*(0.00858038),0+1i*(0),0+1i*(0),0.000552523+1i*(-0.0171608),0+1i*(0),0+1i*(0),0+1i*(0),-0.000276262+1i*(0.00858038),0+1i*(0),0+1i*(0),0.000552523+1i*(-0.0171608),0+1i*(0),0+1i*(0),0+1i*(0),-0.000276262+1i*(0.00858038),0+1i*(0),0+1i*(0),0.000552523+1i*(-0.0171608),
120,0.000116087+1i*(-0.00393332),0+1i*(0),0+1i*(0),-0.000232175+1i*(0.00786665),0+1i*(0),0+1i*(0),0+1i*(0),0.000116087+1i*(-0.00393332),0+1i*(0),0+1i*(0),-0.000232175+1i*(0.00786665),0+1i*(0),0+1i*(0),0+1i*(0),0.000116087+1i*(-0.00393332),0+1i*(0),0+1i*(0),-0.000232175+1i*(0.00786665),-0.000232175+1i*(0.00786665),0+1i*(0),0+1i*(0),0.00046435+1i*(-0.0157333),0+1i*(0),0+1i*(0),0+1i*(0),-0.000232175+1i*(0.00786665),0+1i*(0),0+1i*(0),0.00046435+1i*(-0.0157333),0+1i*(0),0+1i*(0),0+1i*(0),-0.000232175+1i*(0.00786665),0+1i*(0),0+1i*(0),0.00046435+1i*(-0.0157333),
130,9.89275e-05+1i*(-0.00363123),0+1i*(0),0+1i*(0),-0.000197855+1i*(0.00726246),0+1i*(0),0+1i*(0),0+1i*(0),9.89275e-05+1i*(-0.00363123),0+1i*(0),0+1i*(0),-0.000197855+1i*(0.00726246),0+1i*(0),0+1i*(0),0+1i*(0),9.89275e-05+1i*(-0.00363123),0+1i*(0),0+1i*(0),-0.000197855+1i*(0.00726246),-0.000197855+1i*(0.00726246),0+1i*(0),0+1i*(0),0.00039571+1i*(-0.0145249),0+1i*(0),0+1i*(0),0+1i*(0),-0.000197855+1i*(0.00726246),0+1i*(0),0+1i*(0),0.00039571+1i*(-0.0145249),0+1i*(0),0+1i*(0),0+1i*(0),-0.000197855+1i*(0.00726246),0+1i*(0),0+1i*(0),0.00039571+1i*(-0.0145249),
140,8.53084e-05+1i*(-0.0033722),0+1i*(0),0+1i*(0),-0.000170617+1i*(0.0067444),0+1i*(0),0+1i*(0),0+1i*(0),8.53084e-05+1i*(-0.0033722),0+1i*(0),0+1i*(0),-0.000170617+1i*(0.0067444),0+1i*(0),0+1i*(0),0+1i*(0),8.53084e-05+1i*(-0.0033722),0+1i*(0),0+1i*(0),-0.000170617+1i*(0.0067444),-0.000170617+1i*(0.0067444),0+1i*(0),0+1i*(0),0.000341234+1i*(-0.0134888),0+1i*(0),0+1i*(0),0+1i*(0),-0.000170617+1i*(0.0067444),0+1i*(0),0+1i*(0),0.000341234+1i*(-0.0134888),0+1i*(0),0+1i*(0),0+1i*(0),-0.000170617+1i*(0.0067444),0+1i*(0),0+1i*(0),0.000341234+1i*(-0.0134888),
150,7.43192e-05+1i*(-0.00314765),0+1i*(0),0+1i*(0),-0.000148638+1i*(0.00629529),0+1i*(0),0+1i*(0),0+1i*(0),7.43192e-05+1i*(-0.00314765),0+1i*(0),0+1i*(0),-0.000148638+1i*(0.00629529),0+1i*(0),0+1i*(0),0+1i*(0),7.43192e-05+1i*(-0.00314765),0+1i*(0),0+1i*(0),-0.000148638+1i*(0.00629529),-0.000148638+1i*(0.00629529),0+1i*(0),0+1i*(0),0.000297277+1i*(-0.0125906),0+1i*(0),0+1i*(0),0+1i*(0),-0.000148638+1i*(0.00629529),0+1i*(0),0+1i*(0),0.000297277+1i*(-0.0125906),0+1i*(0),0+1i*(0),0+1i*(0),-0.000148638+1i*(0.00629529),0+1i*(0),0+1i*(0),0.000297277+1i*(-0.0125906),
160,6.5324e-05+1i*(-0.00295112),0+1i*(0),0+1i*(0),-0.000130648+1i*(0.00590223),0+1i*(0),0+1i*(0),0+1i*(0),6.5324e-05+1i*(-0.00295112),0+1i*(0),0+1i*(0),-0.000130648+1i*(0.00590223),0+1i*(0),0+1i*(0),0+1i*(0),6.5324e-05+1i*(-0.00295112),0+1i*(0),0+1i*(0),-0.000130648+1i*(0.00590223),-0.000130648+1i*(0.00590223),0+1i*(0),0+1i*(0),0.000261296+1i*(-0.0118045),0+1i*(0),0+1i*(0),0+1i*(0),-0.000130648+1i*(0.00590223),0+1i*(0),0+1i*(0),0.000261296+1i*(-0.0118045),0+1i*(0),0+1i*(0),0+1i*(0),-0.000130648+1i*(0.00590223),0+1i*(0),0+1i*(0),0.000261296+1i*(-0.0118045),
170,5.78681e-05+1i*(-0.00277768),0+1i*(0),0+1i*(0),-0.000115736+1i*(0.00555535),0+1i*(0),0+1i*(0),0+1i*(0),5.78681e-05+1i*(-0.00277768),0+1i*(0),0+1i*(0),-0.000115736+1i*(0.00555535),0+1i*(0),0+1i*(0),0+1i*(0),5.78681e-05+1i*(-0.00277768),0+1i*(0),0+1i*(0),-0.000115736+1i*(0.00555535),-0.000115736+1i*(0.00555535),0+1i*(0),0+1i*(0),0.000231473+1i*(-0.0111107),0+1i*(0),0+1i*(0),0+1i*(0),-0.000115736+1i*(0.00555535),0+1i*(0),0+1i*(0),0.000231473+1i*(-0.0111107),0+1i*(0),0+1i*(0),0+1i*(0),-0.000115736+1i*(0.00555535),0+1i*(0),0+1i*(0),0.000231473+1i*(-0.0111107),
180,5.16194e-05+1i*(-0.00262348),0+1i*(0),0+1i*(0),-0.000103239+1i*(0.00524697),0+1i*(0),0+1i*(0),0+1i*(0),5.16194e-05+1i*(-0.00262348),0+1i*(0),0+1i*(0),-0.000103239+1i*(0.00524697),0+1i*(0),0+1i*(0),0+1i*(0),5.16194e-05+1i*(-0.00262348),0+1i*(0),0+1i*(0),-0.000103239+1i*(0.00524697),-0.000103239+1i*(0.00524697),0+1i*(0),0+1i*(0),0.000206477+1i*(-0.0104939),0+1i*(0),0+1i*(0),0+1i*(0),-0.000103239+1i*(0.00524697),0+1i*(0),0+1i*(0),0.000206477+1i*(-0.0104939),0+1i*(0),0+1i*(0),0+1i*(0),-0.000103239+1i*(0.00524697),0+1i*(0),0+1i*(0),0.000206477+1i*(-0.0104939),
190,4.63306e-05+1i*(-0.00248551),0+1i*(0),0+1i*(0),-9.26611e-05+1i*(0.00497101),0+1i*(0),0+1i*(0),0+1i*(0),4.63306e-05+1i*(-0.00248551),0+1i*(0),0+1i*(0),-9.26611e-05+1i*(0.00497101),0+1i*(0),0+1i*(0),0+1i*(0),4.63306e-05+1i*(-0.00248551),0+1i*(0),0+1i*(0),-9.26611e-05+1i*(0.00497101),-9.26611e-05+1i*(0.00497101),0+1i*(0),0+1i*(0),0.000185322+1i*(-0.00994202),0+1i*(0),0+1i*(0),0+1i*(0),-9.26611e-05+1i*(0.00497101),0+1i*(0),0+1i*(0),0.000185322+1i*(-0.00994202),0+1i*(0),0+1i*(0),0+1i*(0),-9.26611e-05+1i*(0.00497101),0+1i*(0),0+1i*(0),0.000185322+1i*(-0.00994202),
200,4.18148e-05+1i*(-0.00236131),0+1i*(0),0+1i*(0),-8.36295e-05+1i*(0.00472262),0+1i*(0),0+1i*(0),0+1i*(0),4.18148e-05+1i*(-0.00236131),0+1i*(0),0+1i*(0),-8.36295e-05+1i*(0.00472262),0+1i*(0),0+1i*(0),0+1i*(0),4.18148e-05+1i*(-0.00236131),0+1i*(0),0+1i*(0),-8.36295e-05+1i*(0.00472262),-8.36295e-05+1i*(0.00472262),0+1i*(0),0+1i*(0),0.000167259+1i*(-0.00944524),0+1i*(0),0+1i*(0),0+1i*(0),-8.36295e-05+1i*(0.00472262),0+1i*(0),0+1i*(0),0.000167259+1i*(-0.00944524),0+1i*(0),0+1i*(0),0+1i*(0),-8.36295e-05+1i*(0.00472262),0+1i*(0),0+1i*(0),0.000167259+1i*(-0.00944524),
