freq_Hz,passivity_index,shifted_passivity,max_phase_deg,nr_phase_deg,nr_zero_margin,small_gain,shortage_passivity,min_real_eig,dw_margin
194.149194574,7.3231678456e-05,7.3231678456e-05,89.4465658334,177,0.00769566133619,0.0131802734689,0,7.43368191055e-05,0.00769566133619
218.26447284,5.94392995195e-05,5.94392995195e-05,89.5069949459,177,0.00699929385673,0.0112463065621,0,6.02274494141e-05,0.00699929385673
245.375110664,4.81768323899e-05,4.81768323899e-05,89.5601257371,177,0.00635340599206,0.00965947449603,0,4.8777734595e-05,0.00635340599206
275.853161763,3.89940183597e-05,3.89940183597e-05,89.607080753,177,0.00575655360508,0.00833994567633,0,3.9477574772e-05,0.00575655360508
310.116892657,3.15174356888e-05,3.15174356888e-05,89.6487355187,177,0.00520690946442,0.00723131357406,0,3.19225384956e-05,0.00520690946442
348.636522768,2.54387597427e-05,2.54387597427e-05,89.685789852,177,0.0047023523781,0.00629212645607,0,2.57879836222e-05,0.0047023523781
391.940677485,2.05038563919e-05,2.05038563919e-05,89.7188159115,177,0.00424054785948,0.0054910599456,0,2.0811041089e-05,0.00424054785948
440.623642777,1.65034325595e-05,1.65034325595e-05,89.7482909026,177,0.00381902019229,0.00480392108663,0,1.67776540796e-05,0.00381902019229
495.353520896,1.32652545238e-05,1.32652545238e-05,89.7746196574,177,0.0034352154761,0.00421168855403,0,1.3512938665e-05,0.0034352154761
556.881399095,1.06477256451e-05,1.06477256451e-05,89.7981504804,177,0.00308655544373,0.00369918130632,0,1.08737945576e-05,0.00308655544373
626.051657201,8.53458705738e-06,8.53458705738e-06,89.8191864667,177,0.00277048217967,0.0032541270693,0,8.74309585975e-06,0.00277048217967
703.813555493,6.8305370755e-06,6.8305370755e-06,89.8379937431,177,0.00248449418395,0.00286649456017,0,7.02503378865e-06,0.00248449418395
791.234261898,5.45761071671e-06,5.45761071671e-06,89.8561381727,177,0.00222617446672,0.00252800480297,0,5.64133001956e-06,0.00222617446672
889.513497311,4.3522049858e-06,4.3522049858e-06,89.8733896686,177,0.0019932115136,0.0022317670382,0,4.52812897537e-06,0.0019932115136
1000,3.46266787474e-06,3.46266787474e-06,89.8885692537,177,0.00178341403873,0.00197200313534,0,3.633433077e-06,0.00178341403873
